"UniqueID","Probability1"
6533,0.058
6534,0.102
6535,0.986
6536,0.31
6537,0.126
6538,0.87
6539,0.924
6540,0.002
6541,0.016
6542,0.004
6543,0.006
6544,0.862
6545,0
6546,0
6547,0.004
6548,0.94
6549,0.788
6550,0.126
6551,0.118
6552,0
6553,0.01
6554,0.03
6555,0.944
6556,0
6557,0
6558,0.34
6559,0
6560,0.978
6561,0.512
6562,0.01
6563,0.002
6564,0
6565,0
6566,0.022
6567,0.07
6568,0.948
6569,0.98
6570,0
6571,0.028
6572,0.74
6573,0.986
6574,0.962
6575,0.016
6576,0.748
6577,0
6578,0
6579,0.028
6580,0
6581,0.798
6582,0.002
6583,0
6584,0.066
6585,0
6586,0.076
6587,0.29
6588,0
6589,0
6590,0.208
6591,0.876
6592,0.03
6593,0
6594,0
6595,0
6596,0
6597,0.006
6598,0.002
6599,0
6600,0.62
6601,0.096
6602,0
6603,0
6604,0.026
6605,0.114
6606,0.986
6607,0.01
6608,0.94
6609,0.634
6610,0
6611,0
6612,0.424
6613,0
6614,0.034
6615,0.002
6616,0.234
6617,0.03
6618,0.016
6619,0.06
6620,0
6621,0.002
6622,0.012
6623,0
6624,0.002
6625,0.004
6626,0
6627,0
6628,0.002
6629,0.012
6630,0
6631,0.026
6632,0.21
6633,0.872
6634,0.03
6635,0.34
6636,0.272
6637,0.354
6638,0.27
6639,0.172
6640,0.15
6641,0.238
6642,0.184
6643,0.322
6644,0.25
6645,0.048
6646,0.128
6647,0.002
6648,0.004
6649,0.164
6650,0.988
6651,0
6652,0
6653,0.016
6654,0.008
6655,0.476
6656,0.064
6657,0
6658,0.01
6659,0
6660,0.74
6661,0
6662,0
6663,0.008
6664,0.284
6665,0.004
6666,0.002
6667,0.012
6668,0.006
6669,0.012
6670,0.812
6671,0.81
6672,0.004
6673,0.034
6674,0.05
6675,0.004
6676,0
6677,0
6678,0
6679,0
6680,0.918
6681,0
6682,0
6683,0.07
6684,0.468
6685,0
6686,0.014
6687,0.014
6688,0.948
6689,0
6690,0.008
6691,0.126
6692,0.236
6693,0
6694,0.974
6695,0.04
6696,0
6697,0.812
6698,0.006
6699,0.012
6700,0.008
6701,0.69
6702,0.004
6703,0.004
6704,0.046
6705,0.01
6706,0
6707,0.098
6708,0
6709,0
6710,0
6711,0.01
6712,0.014
6713,0.008
6714,0.046
6715,0
6716,0.002
6717,0
6718,0.188
6719,0.012
6720,0.79
6721,0
6722,0.004
6723,0.84
6724,0.084
6725,0.554
6726,0.104
6727,0.184
6728,0.932
6729,0
6730,0
6731,0.434
6732,0
6733,0.006
6734,0.004
6735,0.016
6736,0.006
6737,0
6738,0.052
6739,0.266
6740,0
6741,0.182
6742,0
6743,0
6744,0.024
6745,0.292
6746,0
6747,0
6748,0.006
6749,0.008
6750,0.958
6751,0
6752,0.346
6753,0.458
6754,0.002
6755,0
6756,0.008
6757,0.186
6758,0.168
6759,0
6760,0.022
6761,0.006
6762,0
6763,0
6764,0.872
6765,0.004
6766,0
6767,0
6768,0.03
6769,0.03
6770,0.094
6771,0.014
6772,0.01
6773,0.002
6774,0
6775,0.766
6776,0
6777,0
6778,0.004
6779,0.066
6780,0.864
6781,0.104
6782,0.008
6783,0
6784,0.002
6785,0.004
6786,0.04
6787,0.962
6788,0.064
6789,0
6790,0.018
6791,0.008
6792,0
6793,0.23
6794,0
6795,0.064
6796,0
6797,0.002
6798,0
6799,0.004
6800,0
6801,0.008
6802,0
6803,0
6804,0
6805,0.004
6806,0
6807,0.602
6808,0.998
6809,0.034
6810,0.968
6811,0.012
6812,0.012
6813,0
6814,0.004
6815,0.006
6816,0.168
