"UniqueID","Probability1"
6533,0
6534,0.08
6535,0.99
6536,0.474
6537,0.104
6538,0.938
6539,0.898
6540,0
6541,0.022
6542,0
6543,0
6544,0.836
6545,0
6546,0
6547,0
6548,0.926
6549,0.982
6550,0.188
6551,0.042
6552,0
6553,0.006
6554,0.078
6555,0.99
6556,0
6557,0
6558,0.322
6559,0
6560,0.954
6561,0.74
6562,0.01
6563,0
6564,0.002
6565,0
6566,0.02
6567,0.116
6568,0.92
6569,0.986
6570,0
6571,0.042
6572,0.684
6573,0.998
6574,0.982
6575,0.026
6576,0.784
6577,0
6578,0
6579,0.01
6580,0
6581,0.91
6582,0.002
6583,0
6584,0.204
6585,0
6586,0.002
6587,0.252
6588,0
6589,0
6590,0.106
6591,0.858
6592,0.026
6593,0
6594,0
6595,0
6596,0
6597,0.036
6598,0
6599,0
6600,0.792
6601,0.04
6602,0
6603,0
6604,0.016
6605,0.16
6606,0.978
6607,0
6608,0.926
6609,0.666
6610,0
6611,0
6612,0.462
6613,0
6614,0.004
6615,0
6616,0.152
6617,0.002
6618,0.016
6619,0.094
6620,0.002
6621,0
6622,0.002
6623,0
6624,0.014
6625,0
6626,0
6627,0
6628,0
6629,0.014
6630,0
6631,0.018
6632,0.398
6633,0.96
6634,0.022
6635,0.426
6636,0.316
6637,0.422
6638,0.286
6639,0.164
6640,0.144
6641,0.322
6642,0.202
6643,0.342
6644,0.318
6645,0.008
6646,0.108
6647,0
6648,0.004
6649,0.214
6650,0.99
6651,0
6652,0
6653,0.026
6654,0
6655,0.454
6656,0.116
6657,0
6658,0.006
6659,0.002
6660,0.814
6661,0
6662,0
6663,0
6664,0.254
6665,0.004
6666,0
6667,0.034
6668,0.014
6669,0
6670,0.8
6671,0.786
6672,0
6673,0.056
6674,0.016
6675,0
6676,0
6677,0
6678,0
6679,0
6680,0.966
6681,0
6682,0
6683,0.042
6684,0.286
6685,0
6686,0
6687,0
6688,0.926
6689,0
6690,0
6691,0.156
6692,0.302
6693,0
6694,0.97
6695,0.028
6696,0
6697,0.8
6698,0
6699,0.02
6700,0
6701,0.61
6702,0
6703,0.002
6704,0.016
6705,0.002
6706,0
6707,0.142
6708,0.002
6709,0.002
6710,0
6711,0.006
6712,0
6713,0.006
6714,0.072
6715,0
6716,0
6717,0
6718,0.268
6719,0.006
6720,0.776
6721,0
6722,0
6723,0.794
6724,0.078
6725,0.786
6726,0.126
6727,0.562
6728,0.878
6729,0
6730,0
6731,0.552
6732,0
6733,0
6734,0.002
6735,0.006
6736,0
6737,0
6738,0.188
6739,0.216
6740,0
6741,0.208
6742,0
6743,0.012
6744,0.01
6745,0.312
6746,0
6747,0
6748,0.024
6749,0.004
6750,0.966
6751,0.002
6752,0.428
6753,0.408
6754,0.004
6755,0
6756,0.002
6757,0.248
6758,0.242
6759,0
6760,0.002
6761,0
6762,0
6763,0
6764,0.848
6765,0.008
6766,0
6767,0
6768,0.006
6769,0.016
6770,0.006
6771,0.016
6772,0.006
6773,0
6774,0
6775,0.722
6776,0
6777,0
6778,0.004
6779,0.07
6780,0.864
6781,0.108
6782,0.002
6783,0
6784,0.004
6785,0
6786,0
6787,0.954
6788,0.074
6789,0
6790,0.004
6791,0
6792,0
6793,0.196
6794,0
6795,0.046
6796,0
6797,0
6798,0.008
6799,0.01
6800,0
6801,0.032
6802,0
6803,0
6804,0
6805,0.002
6806,0
6807,0.506
6808,1
6809,0.004
6810,0.998
6811,0.012
6812,0.012
6813,0
6814,0
6815,0.024
6816,0.146
6817,0.032
6818,0
6819,0.954
6820,0.008
6821,0
6822,0
6823,0.048
6824,0.886
6825,0.994
6826,0
6827,0.002
6828,0
6829,0.096
6830,0.016
6831,0.008
6832,0
6833,0
6834,0
6835,0.972
6836,0
6837,0
6838,0.002
6839,0
6840,0
6841,0
6842,0
6843,0
6844,0.834
6845,0.946
6846,0
6847,0.224
6848,0
6849,0
6850,0.328
6851,0
6852,0.7
6853,0
6854,0
6855,0.002
6856,0
6857,0.048
6858,0
6859,0.774
6860,0.16
6861,0
6862,0
6863,0.018
6864,0.4
6865,0.01
6866,0.898
6867,0.104
6868,0
6869,0.56
6870,0.006
6871,0
6872,0
6873,0.028
6874,0.236
6875,0
6876,0
6877,0.024
6878,0.264
6879,0.02
6880,0
6881,0
6882,0
6883,0
6884,0
6885,0.936
6886,0
6887,0
6888,0
6889,0.012
6890,0
6891,0.024
6892,0
6893,0
6894,0
6895,0
6896,0.008
6897,0
6898,0.02
6899,0
6900,0
6901,0
6902,0
6903,0.258
6904,0.994
6905,0.01
6906,0
6907,0.032
6908,0
6909,0.032
6910,0
6911,0
6912,0
6913,0.106
6914,0
6915,0
6916,0
6917,0.004
6918,0.256
6919,0.028
6920,0.128
6921,0.9
6922,0.072
6923,0
6924,0.03
6925,0.236
6926,0
6927,0.81
6928,0
6929,0.026
6930,0
6931,0
6932,0
6933,0
6934,0.738
6935,0.3
6936,0
6937,0
6938,0.024
6939,0.002
6940,0.794
6941,0.226
6942,0
6943,0.868
6944,0
6945,0
6946,0.008
6947,0.014
6948,0
6949,0.002
6950,0.128
6951,0.108
6952,0.004
